Date,CAC,ASX,NASDAQ,KOSPI,AUD,USD,KRW
07/21/15,5106.57,5706.7,4674.405,1527.58,0.678218727139722,0.91441111923921,0.000796636394653619
07/22/15,5082.57,5614.6,4623.241,1512.93,0.674380316473063,0.914662032379036,0.000791202754557832
07/23/15,5086.74,5590.3,4602.83,1510.51,0.669520080138421,0.91066387396412,0.000784291056095458
07/24/15,5057.36,5566.1,4557.375,1495.62,0.662902932070661,0.910580950646513,0.000778706931753977
07/27/15,4927.6,5589.9,4519.093,1504.48,0.655306104048327,0.901631953836444,0.000772898053967601
07/28/15,4977.32,5584.7,4560.233,1507.03,0.663230240549828,0.904322662325918,0.000779951582914389
07/29/15,5017.44,5624.2,4581.604,1517.86,0.663783685360524,0.910415149308084,0.00078413762601468
07/30/15,5046.42,5669.5,4598.593,1501.59,0.666910621169152,0.914829384319824,0.000780457940673985
07/31/15,5082.61,5699.2,4588.907,1501.83,0.664603622462911,0.910166560480568,0.000780809800784586
08/03/15,5120.52,5679.3,4580.463,1484.01,0.665266234359302,0.913325417846379,0.00078059332830192
08/04/15,5112.14,5697.9,4567.465,1495.45,0.678125,0.919117647058823,0.000786666592824896
08/05/15,5196.73,5674,4602.238,1484.75,0.674339691856199,0.917094644167278,0.000781896858384086
08/06/15,5192.11,5610.1,4528.507,1457.94,0.672251213036711,0.915499404925387,0.000787404449139391
08/07/15,5154.75,5474.8,4520.08,1457.84,0.676333789329685,0.911992704058367,0.000783700871408754
08/10/15,5195.41,5509.2,4573.113,1453.19,0.672657952069717,0.907770515613653,0.000783776995004017
08/11/15,5099.03,5473.2,4513.992,1452.65,0.661413043478261,0.905797101449275,0.000768777828988631
08/12/15,4925.43,5382.1,4528.189,1455.45,0.661079239870922,0.896378630333453,0.000764449871508514
08/13/15,4986.85,5387.9,4519.316,1449.64,0.659759598134195,0.897021887334051,0.000761795557858575
08/14/15,4956.47,5356.5,4530.739,#N/A,0.66351521699982,0.900414190527643,0.000764144331832036
