Date,DayNumber,Price,PriceStdDev,Delta,DeltaStdDev,PortfolioValue,InvestedCash
2009-01-05,0,964.7011134877642,0.277436808055528,"[0.03616108693327282, 0.07859090352340511, 0.14862369698491582, 359.3205205884578, -289.657266503451, -187.84770193112269, -369411.2798694161]","[0.000543956968956265, 0.00041951602875936965, 0.002587236774902804, 1.9809197928219764, 1.5460773383480173, 3.259674576312456, 2034.2460193514555]",1000.0,878.6282711923341
2009-01-06,1,976.1588345845737,0.28484213463980174,"[0.039046728352064186, 0.07329329058929279, 0.17705796471546917, 354.19286641880507, -274.06616006701853, -225.688677278422, -371188.36041369283]","[0.000523497434319083, 0.00040994804738621305, 0.002423499587279652, 1.721419681914505, 1.5332185635125428, 3.0864274811757837, 1803.8542835110668]",1009.2148648192929,876.431550590305
2009-01-07,2,975.4454019481893,0.2467666164176917,"[0.0369062460673282, 0.06930934291104701, 0.11420836916863775, 271.04999044936704, -261.6605528683756, -141.70626295392427, -292609.6622476209]","[0.0005636446160806466, 0.0004127100536877038, 0.0031291733010531176, 1.4045667346275033, 1.558637901520472, 3.8734680611781744, 1517.36661659855]",1010.5214033069163,886.9587050260229
2009-01-08,3,970.9533148833219,0.25598806956310477,"[0.04054911921211766, 0.08044090211763961, 0.1334733504071638, 341.8730487009509, -296.90144288974983, -167.51179372281803, -359743.0320389015]","[0.0005548726613665936, 0.0004491265291667933, 0.0028494208705323017, 1.5417520598221546, 1.6576668586504044, 3.5661562978847106, 1622.4452859654032]",1003.7394522357508,869.0482761166422
2009-01-09,4,962.7524651365297,0.241563653075583,"[0.0351635004510713, 0.07430176852080621, 0.06838442365540325, 370.55976463278546, -277.2350607274452, -83.4675150105395, -380434.43771704164]","[0.0005658648584777155, 0.00038712663293567485, 0.0032462102087769274, 2.309796872529222, 1.4445898081769293, 3.950089304517853, 2366.6492981875294]",996.5260540248557,880.4590372684484
2009-01-12,5,954.5480820631292,0.2185237458807256,"[0.027022147865606378, 0.08032968979433591, 0.03038612671176709, 289.31185724384096, -295.573425249991, -36.19744467142895, -291112.14416188974]","[0.0006198242554529623, 0.0004055089041772712, 0.0036910066381268753, 2.971407991489462, 1.491484531822713, 4.426297119801605, 2981.5849720149395]",987.1651418635822,899.5110580536434
2009-01-13,6,954.6350275653579,0.21364369606201908,"[0.01841245985093395, 0.08778951975556593, 0.011379578077520028, 331.17706101816464, -320.51357656710127, -13.924241396451967, -336011.833543425]","[0.0006910623300490473, 0.00042788158745048216, 0.0035705028807335054, 2.563037611882009, 1.5609119058099992, 4.287675862805127, 2594.0335524376324]",986.2613811493834,927.8105171838711
2009-01-14,7,962.2947073903575,0.21301269370814105,"[0.007141014945292389, 0.08719693564073938, 0.0007293485290303285, 388.42690594904417, -321.0305086466861, -0.9431960847318396, -398945.8210556701]","[0.0011303519215841178, 0.0004192005781950291, 0.004736889684026164, 2.236590591149661, 1.542794204866567, 5.510820382988461, 2292.3187425529372]",987.1684164594367,965.549656457514
2009-01-15,8,947.5322406082349,0.18627536592116828,"[0.01783082829544655, 0.06791821900323566, -0.014017655058053097, 17.187103325428595, -239.8138035999019, 16.775170567445077, -17132.220305836014]","[0.0013552665949943556, 0.0006459706963637225, 0.003633069471462192, 3.610365600966398, 2.2758073758489594, 4.293533217597334, 3474.944755678503]",966.341418507131,913.3063691346922
2009-01-16,9,951.1201973520853,0.19750133954810425,"[0.017145796882922035, 0.07456939532089213, -0.020136766925218506, 138.58152422400605, -264.7847406188201, 23.961253165731325, -136536.0479393296]","[0.001340257314177427, 0.000619279559822613, 0.0031093855658136057, 3.3290287280392814, 2.194623447064252, 3.7228793444669934, 3262.596279211476]",967.536651383487,916.4873029617193
2009-01-19,10,950.8424351210193,0.2056802143435986,"[0.020809670697029443, 0.0820866262832817, -0.025263372513601935, 224.17533212031137, -294.39597994389965, 29.88257865027955, -223323.94611764507]","[0.0014550532763473669, 0.000537541752235758, 0.0031974947917111462, 3.0823910108976484, 1.9248809062198986, 3.837822673375464, 3059.7075383072442]",969.6022872349698,908.1533646459186
2009-01-20,11,950.1131821989533,0.22140038554907687,"[0.04314667671459596, 0.050449026583039284, 0.026994421154769035, 69.5315053302323, -175.4876763774146, -29.352164661537238, -67999.00914151206]","[0.0017006332152550226, 0.0006745236857985604, 0.005171048655584107, 3.3635225652157974, 2.3401116879764587, 5.862495196368317, 3259.1613530332006]",961.7838046337249,835.1035849804753
2009-01-21,12,949.6864311240746,0.20252288079875283,"[0.06132623329996558, 0.035811309325853816, -0.031326499873345015, -64.79580210491947, -123.48926681901632, 37.02009132769097, 60931.306947310615]","[0.0018822829289467553, 0.0007227813990603173, 0.0031296037784789973, 3.4438353209702566, 2.483413461748147, 3.7031015928898414, 3258.982074332944]",960.2529468054373,782.5857046133843
2009-01-22,13,951.97747818687,0.2225856849697802,"[0.08472810949630862, 0.05212782454029173, -0.03675403291951204, 29.998660963054196, -181.79133145845185, 42.735443473009, -29251.129642979373]","[0.0020484033620290507, 0.0006603876700690239, 0.0033320293597402105, 3.363819484411719, 2.2973554501374767, 3.8904217897075752, 3215.472448424172]",958.9110922384546,716.4044322904186
2009-01-23,14,960.9511975048434,0.22568053124853044,"[0.11148576822410071, -0.0008796048483853032, -0.0960185085239177, -122.76394415588695, 2.5709329611158194, 112.36933602526067, 114452.84026254796]","[0.0021762053315034485, 0.000851451155008761, 0.0026173665575540224, 3.6123954783668712, 2.83936162640424, 3.084255809493436, 3364.1671818600084]",952.8178723287651,635.8264639984318
